scorer,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker
bodyparts,paw_l,paw_l,paw_l,paw_r,paw_r,paw_r
coords,x,y,likelihood,x,y,likelihood
19,37.61825942993164,71.76673126220703,0.999706208705902,54.3622932434082,75.40049743652344,0.998079776763916
20,37.616119384765625,71.75306701660156,0.9997308254241944,54.36637115478516,75.38665008544922,0.9980291724205016
21,37.607269287109375,71.75870513916016,0.9997192025184632,54.39057922363281,75.38365173339844,0.9977575540542604
22,37.607540130615234,71.77816009521484,0.999680519104004,54.37220001220703,75.3962631225586,0.9979628920555116
23,37.50055694580078,71.86068725585938,0.9994391798973083,54.214576721191406,75.39041137695312,0.999155580997467
24,37.55825805664063,71.92566680908203,0.999148964881897,54.210750579833984,75.3914566040039,0.9991720914840698
25,37.51119995117188,71.87228393554688,0.9993941783905028,54.21742248535156,75.39879608154297,0.9991379976272584
26,37.52947998046875,71.85954284667969,0.99944406747818,54.247589111328125,75.39303588867188,0.9989755153656006
27,37.5241584777832,71.86285400390625,0.9994323253631592,54.23648452758789,75.39720916748047,0.9990406036376952
28,37.52223205566406,71.85013580322266,0.999479353427887,54.25823211669922,75.38201141357422,0.9989147186279296
29,37.53340911865234,71.84854888916016,0.99948650598526,54.26782989501953,75.39353942871094,0.998852789402008
30,37.541622161865234,71.84523010253906,0.9994975328445436,54.28703308105469,75.39299774169922,0.9987207651138306
31,37.53982162475586,71.84917449951172,0.999484121799469,54.28163146972656,75.388916015625,0.998761773109436
32,37.52383041381836,71.8545913696289,0.9994635581970216,54.28877258300781,75.37466430664062,0.9987106323242188
33,37.565067291259766,71.8330307006836,0.9995349049568176,54.30799102783203,75.37181854248047,0.998560070991516
34,37.575950622558594,71.8970947265625,0.9992902278900146,54.27315139770508,75.35572052001953,0.9988132119178772
35,37.51015472412109,71.83978271484375,0.9995136260986328,54.27774810791016,75.35702514648438,0.998778223991394
36,37.57658386230469,71.89481353759766,0.9993093013763428,54.25573348999024,75.36237335205078,0.9989231824874878
37,37.50383758544922,71.84785461425781,0.999485731124878,54.26198959350586,75.36396026611328,0.9988842010498048
