scorer,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker
bodyparts,L1A,L1A,L1A,L1B,L1B,L1B,L2A,L2A,L2A,L2B,L2B,L2B,L3A,L3A,L3A,L3B,L3B,L3B,R1A,R1A,R1A,R1B,R1B,R1B,R2A,R2A,R2A,R2B,R2B,R2B,R3A,R3A,R3A,R3B,R3B,R3B
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
24,192.9740,159.9151,0.9996,210.4708,196.0310,0.9999,217.0858,173.4624,0.9991,236.8100,204.7822,0.9983,241.0049,183.0337,0.9989,256.4049,219.1833,0.9994,228.4948,151.0924,0.9995,229.4318,188.2534,0.9996,242.0304,173.9734,0.9990,247.9835,198.7507,0.9993,259.1539,182.0092,1.0000,273.2799,211.8392,0.9957
25,192.9722,159.7066,0.9998,210.9213,195.8757,0.9994,217.0498,173.4124,0.9992,236.7250,204.7456,0.9984,240.9668,182.9453,0.9992,256.3119,219.1764,0.9996,228.3266,151.2144,0.9994,229.3268,188.2843,0.9997,241.8013,173.9364,0.9994,247.5921,198.7628,0.9997,258.8424,181.9036,0.9944,272.9718,211.7281,0.9874
26,193.0707,159.5838,0.9999,211.1598,195.7357,0.9992,216.9625,173.3969,0.9994,236.6117,204.5361,0.9992,240.9611,183.0358,0.9990,256.1259,219.0178,0.9998,228.3002,151.4314,0.9990,229.2554,188.3754,0.9996,241.6507,173.9951,0.9996,247.3567,198.6547,0.9998,258.7015,181.8879,0.9958,272.7641,211.4225,0.9931
27,193.0533,159.6517,0.9998,211.1552,195.7958,0.9992,216.9444,173.4176,0.9995,236.5188,204.4955,0.9994,240.9322,183.1409,0.9988,255.6743,218.8844,0.9999,228.2553,151.6178,0.9983,229.2638,188.4263,0.9996,241.5625,173.9911,0.9997,247.3131,198.7461,0.9998,258.6656,181.9611,0.9974,272.2874,211.5667,0.9914
28,192.8934,159.6205,0.9999,211.4013,195.7975,0.9985,216.8405,173.3054,0.9996,236.6434,204.5731,0.9992,240.9510,183.0688,0.9990,255.5315,219.0718,1.0000,228.1958,151.7357,0.9978,229.3245,188.1762,0.9998,241.3423,173.7518,0.9998,247.3655,198.7766,0.9997,258.6555,181.7833,0.9967,272.1987,211.7654,0.9880
29,192.6135,159.6526,0.9969,211.5247,195.7605,0.9999,216.7462,173.1914,0.9997,236.1727,204.6054,0.9991,240.7483,183.0599,0.9992,254.8408,219.0584,1.0000,228.1549,151.9814,0.9956,229.3234,188.1936,0.9998,241.3045,173.6799,0.9999,246.9054,198.8687,0.9998,258.3701,181.8870,0.9977,271.7962,211.6571,0.9909
30,192.0926,159.5403,0.9991,211.4460,195.6857,0.9999,216.6833,172.9202,0.9984,236.0123,204.9694,0.9991,240.9287,182.9615,0.9993,254.4754,218.9530,0.9994,228.2883,151.7110,0.9978,229.2475,188.1767,0.9998,241.5763,173.6398,0.9998,246.9437,199.1216,0.9993,258.7312,181.9284,0.9959,271.8597,211.3120,0.9964
31,192.3858,159.7147,0.9983,210.9893,195.8685,0.9994,216.9759,172.8799,0.9984,235.8714,205.3184,0.9994,241.1452,183.1830,0.9988,254.6263,218.9848,0.9991,228.4092,151.9706,0.9958,228.9230,188.1822,0.9998,241.5149,173.6422,0.9998,246.8644,199.2545,0.9990,258.9091,182.0307,1.0000,271.7232,211.3173,0.9967
32,191.6620,159.4426,0.9998,208.6607,196.2720,0.9998,216.2740,172.6165,0.9996,234.7687,205.6065,0.9999,240.9303,183.6860,0.9968,254.8081,219.1522,1.0000,228.6778,152.5482,0.9999,228.1897,188.4302,0.9997,240.6944,174.0286,0.9999,246.6295,199.6673,1.0000,258.8017,181.9372,0.9970,271.7267,211.0024,0.9987
33,193.9919,159.8814,0.9998,209.0714,197.7501,0.9986,215.9018,173.5307,1.0000,233.7569,205.8426,0.9988,239.8726,183.8304,0.9993,254.8347,218.9958,1.0000,227.7314,152.6541,0.9983,228.6999,189.8252,0.9999,240.1301,174.2767,0.9983,246.8098,200.5741,0.9996,258.6617,181.8509,0.9972,271.5473,211.1455,0.9987
