scorer,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker
bodyparts,L1A,L1A,L1A,L1B,L1B,L1B,L2A,L2A,L2A,L2B,L2B,L2B,L3A,L3A,L3A,L3B,L3B,L3B,R1A,R1A,R1A,R1B,R1B,R1B,R2A,R2A,R2A,R2B,R2B,R2B,R3A,R3A,R3A,R3B,R3B,R3B
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
24,378.5014,211.0042,0.9974,384.8553,250.8524,0.9948,411.7815,214.2478,0.9999,422.9216,250.2959,0.9995,442.0740,213.8865,1.0000,456.5001,251.9183,0.9981,354.3599,190.7410,1.0000,359.1910,233.4396,0.9997,404.4995,204.3063,0.9923,406.3159,237.7349,0.9998,437.4460,204.7237,0.9978,439.5719,234.9584,0.9997
25,378.5640,211.2490,0.9966,384.6132,250.9933,0.9946,412.0017,214.3463,0.9999,423.1266,250.3289,0.9993,442.3438,213.9195,1.0000,456.8909,251.9051,1.0000,354.4678,190.8815,1.0000,358.9856,233.5937,0.9988,404.8658,204.4415,0.9950,406.6352,237.7118,0.9997,437.5914,204.6868,0.9979,439.8293,234.9238,0.9995
26,378.3469,211.1616,0.9976,384.8191,251.3837,0.9896,412.0481,214.2542,0.9999,423.2174,250.4306,0.9992,442.1716,214.0009,1.0000,456.9970,252.0282,1.0000,354.3954,190.7953,1.0000,359.0288,233.7343,0.9986,404.9041,204.6485,0.9936,406.4509,237.8422,0.9998,437.2494,204.8775,0.9968,439.5374,234.9959,0.9997
27,378.5764,211.1460,0.9969,385.2263,251.7386,0.9879,411.9493,214.3224,0.9999,423.0833,250.4433,0.9993,441.8817,214.0357,1.0000,457.1271,251.9293,1.0000,354.6610,190.7314,0.9999,359.5086,233.6421,0.9994,404.7721,204.6256,0.9932,406.4846,237.8202,0.9998,437.2872,204.9162,0.9960,439.7624,235.0808,0.9996
28,378.4343,211.2285,0.9974,385.1287,252.3112,0.9993,411.9229,214.3848,0.9999,423.4377,250.7067,0.9986,441.8602,214.1898,1.0000,457.2867,251.9398,1.0000,355.0118,190.7345,0.9999,359.6838,234.1289,0.9985,404.9999,204.9940,0.9884,406.6549,238.1984,0.9996,437.2275,205.2013,1.0000,439.7215,235.5672,0.9995
29,378.0622,210.6952,0.9992,384.6718,252.1628,0.9954,411.8827,213.7729,1.0000,423.1211,250.3204,0.9992,441.6818,213.8124,1.0000,457.1963,251.2840,0.9994,354.6082,190.4368,1.0000,358.9931,234.0753,0.9979,405.0658,204.8124,0.9939,406.7288,238.0593,0.9996,436.6821,204.9836,0.9961,438.9951,235.2333,0.9999
30,377.8716,210.7467,0.9992,385.2292,251.3698,0.9936,411.7649,213.7313,1.0000,423.3972,250.6168,0.9989,441.7204,213.7090,1.0000,457.1215,251.3665,0.9994,354.2561,189.7710,0.9997,358.6826,234.0823,0.9987,405.3925,204.5631,0.9962,406.4795,237.9023,0.9997,436.4966,204.6577,0.9979,438.9923,234.8702,0.9999
31,377.9446,210.7979,0.9990,385.7534,251.0602,0.9967,411.5718,213.5142,0.9984,423.5891,250.2856,0.9986,441.4408,213.3468,0.9991,457.2631,250.5686,0.9999,354.4103,189.7377,0.9997,358.9077,234.2946,0.9983,405.3073,204.4355,0.9972,406.3730,237.7300,0.9998,436.3049,204.3707,0.9990,438.8452,234.3982,0.9988
32,379.8139,211.2733,0.9978,390.9681,251.3391,0.9790,412.7716,213.1799,0.9990,426.5938,250.9693,0.9991,442.1167,213.2324,0.9992,456.1696,250.7531,0.9977,355.1091,189.4808,0.9996,359.5693,234.3634,0.9982,406.2001,204.2879,0.9980,408.8720,237.6193,0.9999,436.8648,203.8416,0.9988,439.3273,234.6122,0.9948
33,381.6667,211.0901,0.9948,393.4826,254.3963,0.9965,413.7626,213.4093,0.9978,426.0879,251.9778,0.9997,442.5365,213.6135,0.9999,455.5081,252.8058,0.9974,355.1150,188.7812,0.9997,360.1204,235.5160,0.9992,406.6891,204.2714,0.9986,409.6104,238.0545,0.9997,437.1889,203.5948,0.9997,439.4072,235.9386,0.9963
