scorer,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker
bodyparts,L1A,L1A,L1A,L1B,L1B,L1B,L2A,L2A,L2A,L2B,L2B,L2B,L3A,L3A,L3A,L3B,L3B,L3B,R1A,R1A,R1A,R1B,R1B,R1B,R2A,R2A,R2A,R2B,R2B,R2B,R3A,R3A,R3A,R3B,R3B,R3B
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
36,193.2007,160.2546,0.9996,209.0021,198.4194,0.9992,217.0323,173.1835,0.9996,238.0621,207.1564,0.9982,242.4279,182.6720,0.9998,253.7280,217.0641,0.9981,228.7577,151.0630,0.9997,226.6634,186.6277,0.9997,241.8549,170.9143,0.9980,248.3420,200.1080,0.9978,262.0185,180.4249,0.9997,274.4142,206.8538,0.9999
37,192.7596,160.4600,0.9970,208.9353,198.3601,0.9994,216.7426,173.0868,0.9968,237.5824,207.0350,0.9994,242.2446,182.7212,0.9984,253.1617,217.2168,1.0000,228.4846,151.0650,0.9997,226.3594,186.5511,0.9998,241.3615,170.9245,0.9984,248.0735,200.0390,0.9989,261.5710,180.5154,0.9999,273.8361,206.8659,1.0000
38,192.5841,160.6939,0.9972,208.7775,198.6194,0.9995,216.5151,173.0217,0.9977,237.6034,207.0382,0.9994,241.8573,182.4537,0.9994,253.8483,217.1609,0.9999,228.2454,150.6449,0.9999,226.6945,186.5307,0.9997,241.6978,170.7057,0.9988,249.0766,199.8408,0.9999,262.1570,180.2885,0.9997,274.1747,205.4378,0.9999
39,192.3902,160.7635,0.9975,208.4951,198.8873,0.9994,216.2026,173.0630,0.9974,237.6247,207.2349,0.9993,241.7879,182.2608,0.9995,253.8736,217.2088,0.9998,228.0689,150.6631,0.9999,226.8114,186.4411,0.9997,241.2464,171.0078,0.9982,249.1125,199.9743,0.9999,261.7387,180.4919,0.9999,273.7332,205.1177,1.0000
40,192.1672,160.9729,0.9996,208.4230,199.1719,0.9988,216.1085,173.1987,1.0000,237.5588,207.5342,0.9991,241.7119,182.4593,0.9996,253.9044,217.5018,0.9998,227.8344,150.6880,0.9971,226.6071,186.6595,0.9996,240.9523,171.0826,0.9981,248.9994,200.1668,0.9998,261.5599,180.5716,1.0000,273.5989,205.6111,0.9999
41,191.9829,161.1090,0.9998,208.5587,199.2889,0.9982,216.0076,173.3817,1.0000,237.3480,207.7956,0.9990,241.7478,182.5402,0.9995,253.7095,217.5736,0.9999,227.6086,150.7333,0.9988,226.1934,186.7578,0.9996,240.8182,171.0708,0.9983,248.9359,200.2528,0.9998,261.5222,180.4958,1.0000,273.6138,205.9326,0.9998
42,191.7067,161.2451,0.9999,208.2897,199.4898,0.9966,215.7099,173.7263,0.9999,236.9442,207.9149,0.9990,241.9151,183.0472,0.9989,253.2152,217.6396,1.0000,227.2622,150.7368,0.9997,225.7130,187.0027,0.9978,240.6724,171.1030,0.9982,248.0896,200.6593,0.9982,261.3264,180.6312,1.0000,273.2089,207.4446,0.9983
43,191.5166,161.1474,1.0000,207.8881,199.5173,0.9999,215.3775,173.9017,0.9980,236.7569,207.7234,0.9995,241.5596,183.2461,0.9988,252.7625,217.3097,1.0000,227.1015,150.9858,0.9998,225.5727,186.9280,0.9987,240.1376,171.0477,0.9965,247.3809,200.7494,0.9991,260.5656,180.6107,0.9980,272.8155,207.5409,0.9993
44,191.5352,161.2315,1.0000,207.4989,199.8493,0.9999,215.3310,174.1609,0.9981,236.7381,207.7076,0.9995,241.3844,183.3441,0.9985,253.0928,217.1210,1.0000,226.9671,151.2389,0.9999,225.9233,186.7135,0.9997,239.7747,171.0087,0.9983,247.4342,200.7004,0.9991,260.1171,180.7511,0.9993,272.3238,207.5595,0.9997
45,191.4212,161.2399,1.0000,206.3640,200.4659,0.9994,215.3947,174.4123,0.9973,236.4035,207.6824,0.9996,241.0889,183.7438,0.9999,252.9113,216.9570,0.9985,226.5443,151.3506,0.9999,225.4949,186.7232,0.9990,239.4364,171.1085,0.9982,247.2855,200.6594,0.9992,259.6317,180.6962,0.9998,271.7323,207.6078,0.9998
