scorer,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker
bodyparts,paw1LH,paw1LH,paw1LH,paw2LF,paw2LF,paw2LF,paw3RF,paw3RF,paw3RF,paw4RH,paw4RH,paw4RH
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
17,119.09001159668,123.20755004882801,0.999983787536621,239.18408203125,64.91215515136699,0.999696791172028,260.705261230469,158.45669555664102,0.999929249286652,185.264434814453,173.79681396484398,0.999995589256287
18,125.51277923584,120.81610107421898,0.997844994068146,234.887756347656,66.309753417969,0.999661207199097,266.531036376953,156.32431030273398,0.997803390026092,182.114624023438,174.128387451172,0.999979436397552
19,131.123184204102,117.800537109375,0.997817814350128,230.710708618164,66.34980773925801,0.998688995838165,273.224334716797,154.88510131835898,0.999962151050568,177.571807861328,175.25527954101602,0.998096466064453
20,138.80940246582,111.46929931640602,0.999425232410431,226.872833251953,66.022537231445,0.999954104423523,278.330718994141,154.06826782226602,0.999884188175201,172.412124633789,176.081298828125,0.991383135318756
21,144.135147094727,106.84628295898398,0.991959452629089,223.172210693359,65.58219909668,0.998674511909485,282.081512451172,151.29144287109398,0.998616933822632,166.7197265625,176.35537719726602,0.999699056148529
22,151.00456237793,101.98477172851602,0.994818449020386,220.439651489258,65.16468811035199,0.999876379966736,285.020935058594,150.58294677734398,0.999736309051514,163.789047241211,176.16778564453102,0.999523460865021
23,154.568359375,97.07818603515602,0.998846054077148,218.310211181641,65.02812194824199,0.999919176101685,290.397918701172,150.82855224609398,0.999810099601746,160.826324462891,176.59555053710898,0.998899936676025
24,158.912048339844,93.40484619140602,0.999666213989258,216.552993774414,64.96257019043,0.999976813793182,291.712615966797,149.12432861328102,0.999800980091095,158.254409790039,176.348388671875,0.998391628265381
25,162.67350769043,89.95639038085898,0.998415946960449,214.884246826172,65.157623291016,0.999976813793182,296.013244628906,148.276733398437,0.994645833969116,156.243667602539,176.037628173828,0.999853849411011
26,166.682891845703,85.09022521972699,0.999627828598022,212.980255126953,64.963195800781,0.999983310699463,302.491760253906,146.99920654296898,0.999934613704681,154.30989074707,176.267303466797,0.999872148036957
27,168.230834960938,83.11502075195301,0.995433509349823,210.867797851562,64.98376464843699,0.999222815036774,306.713592529297,144.67568969726602,0.998619854450226,152.085815429688,176.957244873047,0.999372839927673
28,168.703842163086,82.227310180664,0.999234259128571,208.486083984375,65.34207153320301,0.999823331832886,308.362701416016,144.21127319335898,0.999270677566528,149.865203857422,176.64501953125,0.99920254945755
29,167.570098876953,82.37431335449199,0.997041583061218,206.739013671875,65.68327331543,0.999096393585205,309.906341552734,144.50723266601602,0.999067485332489,146.599014282227,176.95718383789102,0.999912202358246
30,165.128387451172,82.821548461914,0.999554395675659,204.308227539062,65.98158264160199,0.999904930591583,312.336486816406,143.703857421875,0.999856770038605,143.717742919922,177.367401123047,0.999958574771881
